document_index,run_id,protocol_id,scenario_id,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,selected_k,doc_topic_prior,topic_word_prior,random_state
96,extended_run_001,prt_0096_00,scn_0096,0.00509416752094,0.381675403181,0.00508464020058,0.597966953281,0.00508611072423,0.00509272509207,6,,,11
97,extended_run_001,prt_0097_00,scn_0097,0.00508485807637,0.457310006413,0.0051165946534,0.522311829515,0.00508760754604,0.00508910379586,6,,,11
98,extended_run_001,prt_0098_00,scn_0098,0.00507946495125,0.863805050169,0.115847933777,0.0050864969103,0.00509142287801,0.00508963131403,6,,,11
99,extended_run_001,prt_0099_00,scn_0099,0.00507880454957,0.81565221137,0.00514358871515,0.163928466673,0.00511384964966,0.00508307904236,6,,,11
100,extended_run_001,prt_0100_00,scn_0100,0.00507649900991,0.818698371654,0.00508654917909,0.00510460126029,0.00508616898386,0.160947809913,6,,,11
101,extended_run_001,prt_0101_00,scn_0101,0.00507358841132,0.873239760743,0.106443276117,0.00507753423665,0.00507467029627,0.00509117019586,6,,,11
102,extended_run_001,prt_0102_00,scn_0102,0.00507322569865,0.74454415052,0.112633637073,0.127586905315,0.00507741763619,0.00508466375766,6,,,11
103,extended_run_001,prt_0103_00,scn_0103,0.00507992926224,0.576717295856,0.00505518430642,0.402983762909,0.00508573518156,0.00507809248515,6,,,11
104,extended_run_001,prt_0104_00,scn_0104,0.00507174768537,0.00510739235742,0.0050739074581,0.824703928626,0.00507176395975,0.154971259913,6,,,11
105,extended_run_001,prt_0105_00,scn_0105,0.00508669375316,0.00508873475129,0.00506026382283,0.0050711185106,0.00509234188404,0.974600847278,6,,,11
106,extended_run_001,prt_0106_00,scn_0106,0.00508088445653,0.00508780609786,0.053831096359,0.00507431715892,0.00510168839754,0.92582420753,6,,,11
107,extended_run_001,prt_0107_00,scn_0107,0.00507812398404,0.00508728924078,0.00506667504614,0.00507435460378,0.00509155853545,0.97460199859,6,,,11
108,extended_run_001,prt_0108_00,scn_0108,0.0050740313542,0.00508344670732,0.160228679617,0.0050738170266,0.00509947587793,0.819440549417,6,,,11
109,extended_run_001,prt_0109_00,scn_0109,0.00509918159183,0.00509370244547,0.124120015084,0.235086085356,0.00512947107026,0.625471544452,6,,,11
110,extended_run_001,prt_0110_00,scn_0110,0.00509713268759,0.0050997521394,0.245292426129,0.114190271942,0.0050900709161,0.625230346186,6,,,11
111,extended_run_001,prt_0111_00,scn_0111,0.00510955346971,0.00509110680278,0.00510973736167,0.482137973577,0.00508728629669,0.497464342493,6,,,11
112,extended_run_001,prt_0112_00,scn_0112,0.00508399197639,0.00508208337463,0.190108180808,0.00507903326667,0.00507677790734,0.789569932667,6,,,11
113,extended_run_001,prt_0113_00,scn_0113,0.0050878600237,0.00508282581005,0.159427095307,0.00507933046922,0.00507367726305,0.820249211127,6,,,11
114,extended_run_001,prt_0114_00,scn_0114,0.22929594362,0.005110818695,0.270566197268,0.00509878599043,0.00509501325038,0.484833241177,6,,,11
115,extended_run_001,prt_0115_00,scn_0115,0.18652826107,0.00508732100979,0.21193236485,0.00507646296627,0.00507886786087,0.586296722243,6,,,11
116,extended_run_001,prt_0116_00,scn_0116,0.225722328116,0.00508141156671,0.344289903958,0.00507619811471,0.00508062104903,0.414749537195,6,,,11
117,extended_run_001,prt_0117_00,scn_0117,0.360726585984,0.0050807654638,0.00512383570211,0.61887783276,0.00508525162826,0.00510572846201,6,,,11
118,extended_run_001,prt_0118_00,scn_0118,0.347521463999,0.00509038421158,0.00511757563952,0.632081219151,0.00508637961752,0.00510297738185,6,,,11
119,extended_run_001,prt_0119_00,scn_0119,0.343768817291,0.451668828328,0.18926334212,0.0050835891147,0.00509157993717,0.00512384320876,6,,,11
120,extended_run_001,prt_0120_00,scn_0120,0.262378539454,0.00508651372054,0.240231613204,0.00508176328308,0.00511031854343,0.482111251795,6,,,11
121,extended_run_001,prt_0121_00,scn_0121,0.400301632402,0.0051220276861,0.128509698552,0.00509130465163,0.0050985712345,0.455876765474,6,,,11
122,extended_run_001,prt_0122_00,scn_0122,0.489419951285,0.00510344391011,0.490194073204,0.00507856933775,0.005091077373,0.0051128848907,6,,,11
123,extended_run_001,prt_0123_00,scn_0123,0.485480938005,0.00509841398804,0.244023891544,0.255210924223,0.00509829324182,0.00508753899778,6,,,11
124,extended_run_001,prt_0124_00,scn_0124,0.411601640761,0.00508608468293,0.00509842153852,0.568022253589,0.00510221626845,0.00508938316051,6,,,11
125,extended_run_001,prt_0125_00,scn_0125,0.380962253634,0.00508878357057,0.00507394505624,0.443974349042,0.0050971881486,0.159803480549,6,,,11
126,extended_run_001,prt_0126_00,scn_0126,0.265091038477,0.383137086552,0.00508617970207,0.00508101543971,0.00507692959272,0.336527750237,6,,,11
127,extended_run_001,prt_0127_00,scn_0127,0.265535073722,0.554515231196,0.00510375661178,0.0050835159492,0.00507852555855,0.164683896962,6,,,11
128,extended_run_001,prt_0128_00,scn_0128,0.372726810812,0.308048570389,0.303956298515,0.00508739443127,0.0050796085318,0.00510131732071,6,,,11
129,extended_run_001,prt_0129_00,scn_0129,0.35555897949,0.00510533213277,0.13490191927,0.494271367504,0.00507717665822,0.00508522494506,6,,,11
130,extended_run_001,prt_0130_00,scn_0130,0.452290078087,0.168501831039,0.185600222166,0.183427721466,0.00506825217675,0.00511189506557,6,,,11
131,extended_run_001,prt_0131_00,scn_0131,0.387128742956,0.0050962520257,0.00506332461456,0.592561783783,0.00506926347909,0.00508063314165,6,,,11
132,extended_run_001,prt_0132_00,scn_0132,0.327648958604,0.00508693842411,0.0050762372033,0.652017163607,0.00507830922841,0.0050923929328,6,,,11
133,extended_run_001,prt_0133_00,scn_0133,0.101920289778,0.750551085322,0.00507201947308,0.00508652416599,0.132281273921,0.00508880733976,6,,,11
134,extended_run_001,prt_0134_00,scn_0134,0.0663577217497,0.732760159405,0.00511192036869,0.0051232191091,0.18557333506,0.00507364430757,6,,,11
135,extended_run_001,prt_0135_00,scn_0135,0.132906908302,0.709881259009,0.00507359777248,0.0050859991854,0.141954439018,0.00509779671305,6,,,11
136,extended_run_001,prt_0136_00,scn_0136,0.4889166923,0.00511932455583,0.210129346988,0.00511597679209,0.285616232015,0.00510242734848,6,,,11
137,extended_run_001,prt_0137_00,scn_0137,0.295779746263,0.00509148653412,0.102161028124,0.437909823826,0.153974515043,0.00508340021066,6,,,11
138,extended_run_001,prt_0138_00,scn_0138,0.180515035273,0.00509797029019,0.0050920183068,0.518542565169,0.285657551979,0.00509485898202,6,,,11
139,extended_run_001,prt_0139_00,scn_0139,0.199718041898,0.00509357914249,0.00505743499829,0.525160887335,0.259887754773,0.00508230185362,6,,,11
140,extended_run_001,prt_0140_00,scn_0140,0.00509056292385,0.00510679073014,0.00508095137004,0.00508595249687,0.700955908556,0.278679833923,6,,,11
